"Regionale kerncijfers Nederland"
""
"";"";"Onderwerp"
"";"";"Onderwijs|Naar woongemeente|Leerlingen/studenten|Voortgezet onderwijs";"Onderwijs|Naar woongemeente|Leerlingen/studenten|Beroepsopleidende leerweg";"Onderwijs|Naar woongemeente|Leerlingen/studenten|Beroepsbegeleidende leerweg";"Onderwijs|Naar woongemeente|Leerlingen/studenten|Hoger beroepsonderwijs";"Onderwijs|Naar woongemeente|Leerlingen/studenten|Wetenschappelijk onderwijs"
"Perioden";"Regio's";"aantal";"aantal";"aantal";"aantal";"aantal"
"2003";"Egmond";"";"";"";"";""
"2003";"Eindhoven";"9309";".";".";"6078";"4904"
"2003";"Enkhuizen";"985";".";".";"268";"82"
"2003";"Esch";"";"";"";"";""
"2003";"Etten-Leur";"2233";".";".";"852";"213"
"2003";"Fijnaart en Heijningen";"";"";"";"";""
"2003";"Geertruidenberg";"988";".";".";"341";"79"
"2003";"Geldrop";"1444";".";".";"479";"139"
"2003";"Geldrop-Mierlo";"";"";"";"";""
"2003";"Gemert";"";"";"";"";""
"2003";"Gooise Meren";"";"";"";"";""
"2003";"Graft-De Rijp";"324";".";".";"103";"19"
"2003";"'s-Graveland";"";"";"";"";""
"2003";"Haarlem";"7031";".";".";"3221";"1348"
"2003";"Haarlemmerliede en Spaarnwoude";"412";".";".";"90";"43"
"2003";"Haarlemmermeer";"6953";".";".";"2136";"1009"
"2003";"Harenkarspel";"848";".";".";"264";"69"
"2003";"Harmelen";"";"";"";"";""
"2003";"Heemskerk";"1944";".";".";"580";"237"
"2003";"Heemstede";"1685";".";".";"434";"280"
"2003";"Heerhugowaard";"2560";".";".";"888";"267"
"2003";"Heiloo";"1175";".";".";"407";"161"
"2003";"Den Helder";"3051";".";".";"735";"165"
"2003";"Hilversum";"4162";".";".";"1437";"637"
"2003";"Hollands Kroon";"";"";"";"";""
"2003";"Hoorn";"3268";".";".";"1282";"449"
"2003";"Houten";"3415";".";".";"938";"372"
"2003";"Huizen";"2910";".";".";"812";"299"
"2003";"IJsselstein";"1793";".";".";"590";"225"
"2003";"Koggenland";"";"";"";"";""
"2003";"Landsmeer";"563";".";".";"174";"77"
"2003";"Langbroek";"";"";"";"";""
"2003";"Langedijk";"1619";".";".";"480";"164"
"2003";"Laren (NH.)";"585";".";".";"126";"91"
"2003";"Leersum";"423";".";".";"96";"32"
"2003";"Leusden";"1865";".";".";"541";"169"
"2003";"Limmen";"";"";"";"";""
"2003";"Loenen";"435";".";".";"105";"56"
"2003";"Loosdrecht";"";"";"";"";""
"2003";"Lopik";"786";".";".";"185";"64"
"2003";"Maarn";"313";".";".";"83";"34"
"2003";"Maarssen";"2527";".";".";"821";"295"
"2003";"Maartensdijk";"";"";"";"";""
"2003";"Medemblik";"320";".";".";"77";"28"
"2003";"Montfoort";"753";".";".";"258";"106"
"2003";"Muiden";"366";".";".";"95";"49"
"2003";"Naarden";"982";".";".";"237";"129"
"2003";"Nederhorst den Berg";"";"";"";"";""
"2003";"Niedorp";"620";".";".";"162";"39"
"2003";"Nieuwegein";"3442";".";".";"1299";"560"
"2003";"Noorder-Koggenland";"544";".";".";"149";"46"
"2003";"Obdam";"390";".";".";"127";"41"
"2003";"Oostzaan";"450";".";".";"115";"54"
"2003";"Opmeer";"629";".";".";"175";"32"
"2003";"Ouder-Amstel";"756";".";".";"229";"155"
"2003";"Oudewater";"534";".";".";"147";"38"
"2003";"Purmerend";"3839";".";".";"1217";"452"
"2003";"Renswoude";"294";".";".";"66";"17"
"2003";"Rhenen";"925";".";".";"250";"91"
"2003";"De Ronde Venen";"2085";".";".";"625";"213"
"2003";"Schagen";"916";".";".";"270";"88"
"2003";"Schermer";"297";".";".";"59";"30"
"2003";"Schoorl";"";"";"";"";""
"2003";"Soest";"2467";".";".";"701";"278"
"2003";"Stede Broec";"1170";".";".";"361";"106"
"2003";"Stichtse Vecht";"";"";"";"";""
"2003";"Texel";"908";".";".";"93";"11"
"2003";"Uitgeest";"620";".";".";"234";"71"
"2003";"Uithoorn";"1188";".";".";"360";"179"
"2003";"Utrecht (gemeente)";"9967";".";".";"9863";"14658"
"2003";"Utrechtse Heuvelrug";"";"";"";"";""
"2003";"Veenendaal";"3791";".";".";"1227";"342"
"2003";"Velsen";"3728";".";".";"902";"395"
"2003";"Venhuizen";"472";".";".";"127";"33"
"2003";"Vianen";"1058";".";".";"338";"111"
"2003";"Vijfheerenlanden";"";"";"";"";""
"2003";"Vleuten-De Meern";"";"";"";"";""
"2003";"Waterland";"929";".";".";"354";"198"
"2003";"Weesp";"885";".";".";"291";"130"
"2003";"Wervershoof";"507";".";".";"145";"34"
"2003";"Wester-Koggenland";"743";".";".";"219";"73"
"2003";"Wieringen";"410";".";".";"85";"20"
"2003";"Wieringermeer";"666";".";".";"169";"26"
"2003";"Wijdemeren";"1281";".";".";"310";"163"
"2003";"Wijk bij Duurstede";"1598";".";".";"410";"147"
"2003";"Woerden";"2804";".";".";"966";"378"
"2003";"Wognum";"499";".";".";"157";"54"
"2003";"Wormerland";"825";".";".";"223";"95"
"2003";"Woudenberg";"666";".";".";"184";"45"
"2003";"Zaanstad";"6725";".";".";"2201";"907"
"2003";"Zandvoort";"727";".";".";"232";"92"
"2003";"Zeevang";"300";".";".";"96";"40"
"2003";"Zeist";"2929";".";".";"1209";"975"
"2003";"Zijpe";"585";".";".";"163";"38"
"2004";"Aalburg";"755";".";".";"158";"44"
"2004";"Aalsmeer";"834";".";".";"303";"138"
"2004";"Aarle-Rixtel";"";"";"";"";""
"2004";"Abcoude";"568";".";".";"144";"82"
"2004";"Akersloot";"";"";"";"";""
"2004";"Alkmaar";"4863";".";".";"2062";"761"
"2004";"Alphen en Riel";"";"";"";"";""
"2004";"Alphen-Chaam";"561";".";".";"197";"47"
"2004";"Altena";"";"";"";"";""
"2004";"Amerongen";"441";".";".";"92";"20"
"2004";"Amersfoort";"6827";".";".";"2660";"956"
"2004";"Amstelveen";"3730";".";".";"1545";"2469"
"2004";"Amsterdam";"30004";".";".";"17847";"20563"
"2004";"Andijk";"412";".";".";"106";"34"
"2004";"Anna Paulowna";"765";".";".";"215";"43"
"2004";"Asten";"1030";".";".";"244";"76"
"2004";"Baarle-Nassau";"311";".";".";"98";"23"
"2004";"Baarn";"1260";".";".";"368";"138"
"2004";"Bakel en Milheeze";"";"";"";"";""
"2004";"Beek en Donk";"";"";"";"";""
"2004";"Beemster";"458";".";".";"141";"63"
"2004";"Bennebroek";"278";".";".";"55";"44"
"2004";"Bergeijk";"1053";".";".";"305";"89"
"2004";"Bergen (NH.)";"1664";".";".";"455";"189"
"2004";"Bergen op Zoom";"3557";".";".";"1091";"283"
"2004";"Bergeyk";"";"";"";"";""
"2004";"Berkel-Enschot";"";"";"";"";""
"2004";"Berlicum";"";"";"";"";""
"2004";"Bernheze";"1879";".";".";"534";"153"
"2004";"Best";"1728";".";".";"536";"196"
"2004";"Beverwijk";"1627";".";".";"505";"197"
"2004";"De Bilt";"2346";".";".";"674";"501"
"2004";"Bladel";"1151";".";".";"293";"84"
"2004";"Bladel en Netersel";"";"";"";"";""
"2004";"Blaricum";"580";".";".";"128";"68"
"2004";"Bloemendaal";"1114";".";".";"350";"207"
"2004";"Boekel";"587";".";".";"145";"33"
"2004";"Boxmeer";"1780";".";".";"454";"154"
"2004";"Boxtel";"1764";".";".";"617";"188"
"2004";"Breda";"8432";".";".";"6695";"1179"
"2004";"Breukelen";"858";".";".";"221";"113"
"2004";"Budel";"";"";"";"";""
"2004";"Bunnik";"901";".";".";"242";"198"
"2004";"Bunschoten";"1294";".";".";"357";"85"
"2004";"Bussum";"1661";".";".";"452";"247"
"2004";"Castricum";"1976";".";".";"776";"293"
"2004";"Chaam";"";"";"";"";""
"2004";"Cothen";"";"";"";"";""
"2004";"Cranendonck";"1007";".";".";"340";"91"
"2004";"Cuijk";"1334";".";".";"358";"131"
"2004";"Deurne";"1899";".";".";"616";"132"
"2004";"Diemen";"1326";".";".";"746";"633"
"2004";"Diessen";"";"";"";"";""
"2004";"Dijk en Waard";"";"";"";"";""
"2004";"Dinteloord en Prinsenland";"";"";"";"";""
"2004";"Dongen";"1358";".";".";"449";"117"
"2004";"Doorn";"496";".";".";"152";"60"
"2004";"Drechterland";"692";".";".";"190";"73"
"2004";"Driebergen-Rijsenburg";"1209";".";".";"305";"137"
"2004";"Drimmelen";"1613";".";".";"443";"124"
"2004";"Drunen";"";"";"";"";""
"2004";"Den Dungen";"";"";"";"";""
"2004";"Dussen";"";"";"";"";""
"2004";"Edam-Volendam";"1595";".";".";"393";"213"
"2004";"Eemnes";"587";".";".";"151";"70"
"2004";"Eersel";"1192";".";".";"333";"95"
"2004";"Egmond";"";"";"";"";""
"2004";"Eindhoven";"9474";".";".";"6409";"5296"
"2004";"Enkhuizen";"1004";".";".";"271";"83"
"2004";"Esch";"";"";"";"";""
"2004";"Etten-Leur";"2255";".";".";"797";"197"
"2004";"Fijnaart en Heijningen";"";"";"";"";""
"2004";"Geertruidenberg";"974";".";".";"345";"83"
"2004";"Geldrop";"";"";"";"";""
"2004";"Geldrop-Mierlo";"2074";".";".";"688";"195"
"2004";"Gemert";"";"";"";"";""
"2004";"Gooise Meren";"";"";"";"";""
"2004";"Graft-De Rijp";"341";".";".";"104";"30"
"2004";"'s-Graveland";"";"";"";"";""
"2004";"Haarlem";"7147";".";".";"3335";"1483"
"2004";"Haarlemmerliede en Spaarnwoude";"396";".";".";"85";"40"
"2004";"Haarlemmermeer";"7374";".";".";"2341";"1084"
"2004";"Harenkarspel";"858";".";".";"256";"73"
"2004";"Harmelen";"";"";"";"";""
"2004";"Heemskerk";"2004";".";".";"571";"236"
"2004";"Heemstede";"1708";".";".";"427";"279"
"2004";"Heerhugowaard";"2534";".";".";"911";"299"
"2004";"Heiloo";"1195";".";".";"430";"149"
"2004";"Den Helder";"3053";".";".";"741";"150"
"2004";"Hilversum";"4269";".";".";"1447";"693"
"2004";"Hollands Kroon";"";"";"";"";""
"2004";"Hoorn";"3693";".";".";"1320";"478"
"2004";"Houten";"3467";".";".";"974";"390"
"2004";"Huizen";"2857";".";".";"834";"295"
"2004";"IJsselstein";"1884";".";".";"607";"251"
"2004";"Koggenland";"";"";"";"";""
"2004";"Landsmeer";"593";".";".";"194";"74"
"2004";"Langbroek";"";"";"";"";""
"2004";"Langedijk";"1653";".";".";"501";"163"
"2004";"Laren (NH.)";"608";".";".";"132";"80"
"2004";"Leersum";"421";".";".";"104";"34"
"2004";"Leusden";"1845";".";".";"600";"179"
"2004";"Limmen";"";"";"";"";""
"2004";"Loenen";"458";".";".";"118";"52"
"2004";"Loosdrecht";"";"";"";"";""
"2004";"Lopik";"830";".";".";"218";"77"
"2004";"Maarn";"316";".";".";"84";"34"
"2004";"Maarssen";"2515";".";".";"804";"322"
"2004";"Maartensdijk";"";"";"";"";""
"2004";"Medemblik";"377";".";".";"91";"22"
"2004";"Montfoort";"781";".";".";"258";"96"
"2004";"Muiden";"377";".";".";"91";"50"
"2004";"Naarden";"1014";".";".";"234";"149"
"2004";"Nederhorst den Berg";"";"";"";"";""
"2004";"Niedorp";"643";".";".";"180";"34"
"2004";"Nieuwegein";"3370";".";".";"1271";"553"
"2004";"Noorder-Koggenland";"627";".";".";"140";"34"
"2004";"Obdam";"404";".";".";"126";"42"
"2004";"Oostzaan";"442";".";".";"138";"56"
"2004";"Opmeer";"650";".";".";"183";"28"
"2004";"Ouder-Amstel";"758";".";".";"251";"170"
"2004";"Oudewater";"556";".";".";"159";"40"
"2004";"Purmerend";"4024";".";".";"1319";"480"
"2004";"Renswoude";"311";".";".";"64";"24"
"2004";"Rhenen";"923";".";".";"255";"72"
"2004";"De Ronde Venen";"2087";".";".";"678";"213"
"2004";"Schagen";"929";".";".";"290";"96"
"2004";"Schermer";"316";".";".";"79";"22"
"2004";"Schoorl";"";"";"";"";""
"2004";"Soest";"2459";".";".";"709";"281"
"2004";"Stede Broec";"1225";".";".";"363";"95"
"2004";"Stichtse Vecht";"";"";"";"";""
"2004";"Texel";"919";".";".";"94";"19"
"2004";"Uitgeest";"586";".";".";"252";"86"
"2004";"Uithoorn";"1247";".";".";"380";"177"
"2004";"Utrecht (gemeente)";"10053";".";".";"10494";"16492"
"2004";"Utrechtse Heuvelrug";"";"";"";"";""
"2004";"Veenendaal";"3768";".";".";"1266";"367"
"2004";"Velsen";"3870";".";".";"920";"381"
"2004";"Venhuizen";"476";".";".";"126";"33"
"2004";"Vianen";"1083";".";".";"334";"118"
"2004";"Vijfheerenlanden";"";"";"";"";""
"2004";"Vleuten-De Meern";"";"";"";"";""
"2004";"Waterland";"1069";".";".";"346";"187"
"2004";"Weesp";"857";".";".";"315";"142"
"2004";"Wervershoof";"512";".";".";"137";"29"
"2004";"Wester-Koggenland";"828";".";".";"233";"66"
"2004";"Wieringen";"414";".";".";"96";"23"
"2004";"Wieringermeer";"687";".";".";"179";"26"
"2004";"Wijdemeren";"1334";".";".";"320";"147"
"2004";"Wijk bij Duurstede";"1623";".";".";"435";"146"
"2004";"Woerden";"2852";".";".";"1023";"407"
"2004";"Wognum";"543";".";".";"150";"54"
"2004";"Wormerland";"884";".";".";"235";"105"
"2004";"Woudenberg";"690";".";".";"194";"45"
"2004";"Zaanstad";"6793";".";".";"2284";"933"
"2004";"Zandvoort";"756";".";".";"233";"108"
"2004";"Zeevang";"353";".";".";"85";"44"
"2004";"Zeist";"3012";".";".";"1195";"1017"
"2004";"Zijpe";"606";".";".";"159";"39"
"2005";"Aalburg";"823";"222";"172";"149";"50"
"2005";"Aalsmeer";"1342";"398";"152";"321";"149"
"2005";"Aarle-Rixtel";"";"";"";"";""
"2005";"Abcoude";"574";"97";"44";"148";"85"
"2005";"Akersloot";"";"";"";"";""
"2005";"Alkmaar";"5153";"1870";"1005";"2132";"809"
"2005";"Alphen en Riel";"";"";"";"";""
"2005";"Alphen-Chaam";"604";"171";"71";"188";"49"
"2005";"Altena";"";"";"";"";""
"2005";"Amerongen";"417";"125";"85";"101";"25"
"2005";"Amersfoort";"7493";"2825";"1004";"2840";"969"
"2005";"Amstelveen";"3938";"854";"340";"1583";"2616"
"2005";"Amsterdam";"30952";"15070";"4417";"18865";"21950"
"2005";"Andijk";"405";"122";"59";"113";"34"
"2005";"Anna Paulowna";"855";"367";"170";"231";"45"
"2005";"Asten";"1051";"352";"153";"281";"73"
"2005";"Baarle-Nassau";"320";"106";"66";"110";"28"
"2005";"Baarn";"1250";"416";"160";"380";"132"
"2005";"Bakel en Milheeze";"";"";"";"";""
"2005";"Beek en Donk";"";"";"";"";""
"2005";"Beemster";"505";"153";"83";"152";"69"
"2005";"Bennebroek";"315";"48";"22";"54";"38"
"2005";"Bergeijk";"1102";"337";"175";"287";"94"
"2005";"Bergen (NH.)";"1762";"413";"252";"457";"197"
"2005";"Bergen op Zoom";"3830";"1334";"729";"1098";"238"
"2005";"Bergeyk";"";"";"";"";""
"2005";"Berkel-Enschot";"";"";"";"";""
"2005";"Berlicum";"";"";"";"";""
"2005";"Bernheze";"1872";"625";"336";"583";"158"
"2005";"Best";"1824";"530";"199";"532";"196"
"2005";"Beverwijk";"1847";"586";"392";"524";"214"
"2005";"De Bilt";"2821";"554";"236";"703";"507"
"2005";"Bladel";"1157";"379";"182";"307";"87"
"2005";"Bladel en Netersel";"";"";"";"";""
"2005";"Blaricum";"561";"116";"42";"152";"74"
"2005";"Bloemendaal";"1135";"153";"49";"336";"206"
"2005";"Boekel";"577";"215";"115";"138";"50"
"2005";"Boxmeer";"1808";"696";"245";"484";"140"
"2005";"Boxtel";"1865";"667";"283";"629";"163"
"2005";"Breda";"8933";"2805";"1214";"7107";"1191"
"2005";"Breukelen";"867";"217";"107";"227";"104"
"2005";"Budel";"";"";"";"";""
"2005";"Bunnik";"967";"179";"73";"263";"190"
"2005";"Bunschoten";"1303";"403";"291";"365";"99"
"2005";"Bussum";"1784";"319";"181";"479";"257"
"2005";"Castricum";"2284";"560";"258";"791";"303"
"2005";"Chaam";"";"";"";"";""
"2005";"Cothen";"";"";"";"";""
"2005";"Cranendonck";"1023";"344";"166";"351";"80"
"2005";"Cuijk";"1364";"526";"256";"382";"133"
"2005";"Deurne";"2015";"855";"330";"632";"137"
"2005";"Diemen";"1355";"432";"151";"793";"591"
"2005";"Diessen";"";"";"";"";""
"2005";"Dijk en Waard";"";"";"";"";""
"2005";"Dinteloord en Prinsenland";"";"";"";"";""
"2005";"Dongen";"1444";"516";"228";"451";"107"
"2005";"Doorn";"511";"151";"67";"129";"65"
"2005";"Drechterland";"703";"212";"105";"209";"78"
"2005";"Driebergen-Rijsenburg";"1181";"306";"123";"300";"128"
"2005";"Drimmelen";"1633";"493";"267";"444";"103"
"2005";"Drunen";"";"";"";"";""
"2005";"Den Dungen";"";"";"";"";""
"2005";"Dussen";"";"";"";"";""
"2005";"Edam-Volendam";"1617";"347";"250";"363";"231"
"2005";"Eemnes";"629";"137";"68";"141";"62"
"2005";"Eersel";"1221";"332";"169";"332";"102"
"2005";"Egmond";"";"";"";"";""
"2005";"Eindhoven";"9794";"3731";"1472";"6639";"5462"
"2005";"Enkhuizen";"1062";"284";"182";"288";"95"
"2005";"Esch";"";"";"";"";""
"2005";"Etten-Leur";"2324";"782";"354";"816";"194"
"2005";"Fijnaart en Heijningen";"";"";"";"";""
"2005";"Geertruidenberg";"1091";"349";"190";"339";"84"
"2005";"Geldrop";"";"";"";"";""
"2005";"Geldrop-Mierlo";"2130";"742";"298";"688";"197"
"2005";"Gemert";"";"";"";"";""
"2005";"Gooise Meren";"";"";"";"";""
"2005";"Graft-De Rijp";"381";"110";"51";"84";"34"
"2005";"'s-Graveland";"";"";"";"";""
"2005";"Haarlem";"7283";"2184";"982";"3403";"1461"
"2005";"Haarlemmerliede en Spaarnwoude";"425";"91";"43";"83";"46"
"2005";"Haarlemmermeer";"7754";"2413";"968";"2416";"1144"
"2005";"Harenkarspel";"933";"313";"192";"249";"62"
"2005";"Harmelen";"";"";"";"";""
"2005";"Heemskerk";"2377";"779";"435";"645";"256"
"2005";"Heemstede";"1674";"274";"95";"434";"284"
"2005";"Heerhugowaard";"2880";"943";"614";"912";"285"
"2005";"Heiloo";"1311";"269";"146";"423";"164"
"2005";"Den Helder";"3168";"1351";"603";"734";"148"
"2005";"Hilversum";"4460";"1132";"502";"1565";"746"
"2005";"Hollands Kroon";"";"";"";"";""
"2005";"Hoorn";"3892";"1404";"624";"1279";"508"
"2005";"Houten";"3493";"943";"355";"1030";"437"
"2005";"Huizen";"2899";"842";"348";"822";"350"
"2005";"IJsselstein";"2057";"627";"243";"611";"258"
"2005";"Koggenland";"";"";"";"";""
"2005";"Landsmeer";"639";"193";"60";"188";"78"
"2005";"Langbroek";"";"";"";"";""
"2005";"Langedijk";"1742";"508";"301";"492";"157"
"2005";"Laren (NH.)";"630";"89";"40";"114";"66"
"2005";"Leersum";"448";"157";"64";"94";"32"
"2005";"Leusden";"1921";"625";"245";"586";"187"
"2005";"Limmen";"";"";"";"";""
"2005";"Loenen";"483";"109";"44";"118";"50"
"2005";"Loosdrecht";"";"";"";"";""
"2005";"Lopik";"880";"267";"193";"229";"85"
"2005";"Maarn";"329";"65";"38";"78";"37"
"2005";"Maarssen";"2550";"842";"313";"797";"316"
"2005";"Maartensdijk";"";"";"";"";""
"2005";"Medemblik";"397";"150";"72";"100";"24"
"2005";"Montfoort";"834";"246";"127";"254";"91"
"2005";"Muiden";"413";"102";"33";"82";"43"
"2005";"Naarden";"1111";"175";"53";"211";"123"
"2005";"Nederhorst den Berg";"";"";"";"";""
"2005";"Niedorp";"744";"224";"136";"175";"42"
"2005";"Nieuwegein";"3313";"1256";"558";"1276";"573"
"2005";"Noorder-Koggenland";"694";"205";"101";"150";"33"
"2005";"Obdam";"411";"149";"93";"141";"41"
"2005";"Oostzaan";"516";"151";"74";"153";"46"
"2005";"Opmeer";"731";"261";"132";"202";"24"
"2005";"Ouder-Amstel";"757";"155";"78";"247";"166"
"2005";"Oudewater";"606";"194";"94";"152";"44"
"2005";"Purmerend";"4463";"1713";"702";"1351";"475"
"2005";"Renswoude";"314";"109";"57";"69";"19"
"2005";"Rhenen";"958";"297";"162";"249";"72"
"2005";"De Ronde Venen";"2200";"610";"248";"675";"220"
"2005";"Schagen";"1012";"328";"184";"288";"96"
"2005";"Schermer";"334";"106";"55";"87";"26"
"2005";"Schoorl";"";"";"";"";""
"2005";"Soest";"2611";"745";"325";"698";"304"
"2005";"Stede Broec";"1285";"393";"235";"380";"94"
"2005";"Stichtse Vecht";"";"";"";"";""
"2005";"Texel";"916";"205";"134";"72";"28"
"2005";"Uitgeest";"718";"215";"106";"275";"88"
"2005";"Uithoorn";"1496";"426";"150";"397";"175"
"2005";"Utrecht (gemeente)";"10736";"4893";"1330";"11173";"17487"
"2005";"Utrechtse Heuvelrug";"";"";"";"";""
"2005";"Veenendaal";"3890";"1374";"601";"1242";"378"
"2005";"Velsen";"4049";"1135";"664";"957";"390"
"2005";"Venhuizen";"491";"141";"56";"144";"30"
"2005";"Vianen";"1142";"421";"179";"312";"102"
"2005";"Vijfheerenlanden";"";"";"";"";""
"2005";"Vleuten-De Meern";"";"";"";"";""
"2005";"Waterland";"1118";"334";"143";"356";"177"
"2005";"Weesp";"879";"343";"136";"322";"146"
"2005";"Wervershoof";"544";"171";"94";"154";"28"
"2005";"Wester-Koggenland";"899";"290";"146";"241";"59"
"2005";"Wieringen";"462";"167";"89";"96";"24"
"2005";"Wieringermeer";"756";"229";"133";"167";"36"
"2005";"Wijdemeren";"1445";"300";"144";"336";"129"
"2005";"Wijk bij Duurstede";"1644";"546";"253";"406";"138"
"2005";"Woerden";"2936";"941";"403";"1035";"390"
"2005";"Wognum";"586";"145";"80";"161";"58"
"2005";"Wormerland";"927";"254";"153";"244";"108"
"2005";"Woudenberg";"716";"209";"143";"203";"54"
"2005";"Zaanstad";"7114";"2736";"1334";"2347";"982"
"2005";"Zandvoort";"775";"224";"99";"205";"95"
"2005";"Zeevang";"392";"76";"64";"80";"44"
"2005";"Zeist";"3166";"982";"340";"1190";"1036"
"2005";"Zijpe";"664";"230";"106";"145";"42"
"2006";"Aalburg";"841";"244";"182";"194";"48"
"2006";"Aalsmeer";"1390";"430";"137";"315";"149"
"2006";"Aarle-Rixtel";"";"";"";"";""
"2006";"Abcoude";"571";"93";"53";"135";"86"
"2006";"Akersloot";"";"";"";"";""
"2006";"Alkmaar";"5054";"1859";"958";"2129";"809"
"2006";"Alphen en Riel";"";"";"";"";""
"2006";"Alphen-Chaam";"641";"171";"71";"183";"42"
"2006";"Altena";"";"";"";"";""
"2006";"Amerongen";"";"";"";"";""
"2006";"Amersfoort";"7731";"2873";"1026";"3047";"1021"
"2006";"Amstelveen";"4112";"848";"333";"1644";"2530"
"2006";"Amsterdam";"30678";"15362";"4118";"20043";"23320"
"2006";"Andijk";"403";"133";"51";"107";"29"
"2006";"Anna Paulowna";"877";"327";"178";"223";"40"
"2006";"Asten";"1074";"341";"195";"309";"59"
"2006";"Baarle-Nassau";"319";"122";"57";"91";"28"
"2006";"Baarn";"1323";"403";"152";"394";"123"
"2006";"Bakel en Milheeze";"";"";"";"";""
"2006";"Beek en Donk";"";"";"";"";""
"2006";"Beemster";"535";"153";"84";"147";"67"
"2006";"Bennebroek";"327";"48";"19";"57";"37"
"2006";"Bergeijk";"1137";"324";"195";"302";"65"
"2006";"Bergen (NH.)";"1755";"417";"255";"455";"170"
"2006";"Bergen op Zoom";"3855";"1324";"719";"1108";"219"
"2006";"Bergeyk";"";"";"";"";""
"2006";"Berkel-Enschot";"";"";"";"";""
"2006";"Berlicum";"";"";"";"";""
"2006";"Bernheze";"1874";"629";"336";"620";"158"
"2006";"Best";"1830";"557";"224";"550";"190"
"2006";"Beverwijk";"1809";"683";"416";"560";"213"
"2006";"De Bilt";"2805";"575";"213";"676";"519"
"2006";"Bladel";"1154";"379";"181";"286";"74"
"2006";"Bladel en Netersel";"";"";"";"";""
"2006";"Blaricum";"572";"128";"37";"128";"69"
"2006";"Bloemendaal";"1185";"149";"65";"281";"199"
"2006";"Boekel";"600";"224";"133";"142";"32"
"2006";"Boxmeer";"1802";"730";"252";"476";"134"
"2006";"Boxtel";"1863";"668";"308";"618";"168"
"2006";"Breda";"9084";"2937";"1221";"7155";"1220"
"2006";"Breukelen";"867";"216";"108";"243";"121"
"2006";"Budel";"";"";"";"";""
"2006";"Bunnik";"984";"191";"54";"253";"174"
"2006";"Bunschoten";"1279";"401";"296";"395";"96"
"2006";"Bussum";"1805";"344";"164";"435";"245"
"2006";"Castricum";"2315";"536";"280";"783";"288"
"2006";"Chaam";"";"";"";"";""
"2006";"Cothen";"";"";"";"";""
"2006";"Cranendonck";"997";"356";"175";"377";"93"
"2006";"Cuijk";"1387";"533";"240";"393";"123"
"2006";"Deurne";"2066";"823";"466";"629";"139"
"2006";"Diemen";"1389";"474";"131";"758";"574"
"2006";"Diessen";"";"";"";"";""
"2006";"Dijk en Waard";"";"";"";"";""
"2006";"Dinteloord en Prinsenland";"";"";"";"";""
"2006";"Dongen";"1462";"536";"205";"438";"107"
"2006";"Doorn";"";"";"";"";""
"2006";"Drechterland";"1223";"349";"165";"357";"119"
"2006";"Driebergen-Rijsenburg";"";"";"";"";""
"2006";"Drimmelen";"1599";"538";"285";"476";"98"
"2006";"Drunen";"";"";"";"";""
"2006";"Den Dungen";"";"";"";"";""
"2006";"Dussen";"";"";"";"";""
"2006";"Edam-Volendam";"1624";"351";"271";"388";"245"
"2006";"Eemnes";"626";"135";"62";"145";"60"
"2006";"Eersel";"1235";"329";"175";"313";"96"
"2006";"Egmond";"";"";"";"";""
"2006";"Eindhoven";"9937";"3826";"1486";"6658";"5338"
"2006";"Enkhuizen";"1128";"292";"165";"294";"91"
"2006";"Esch";"";"";"";"";""
"2006";"Etten-Leur";"2344";"755";"401";"835";"193"
"2006";"Fijnaart en Heijningen";"";"";"";"";""
"2006";"Geertruidenberg";"1098";"341";"223";"357";"84"
"2006";"Geldrop";"";"";"";"";""
"2006";"Geldrop-Mierlo";"2214";"697";"286";"688";"163"
"2006";"Gemert";"";"";"";"";""
"2006";"Gooise Meren";"";"";"";"";""
"2006";"Graft-De Rijp";"398";"105";"55";"87";"35"
"2006";"'s-Graveland";"";"";"";"";""
"2006";"Haarlem";"7225";"2215";"992";"3510";"1496"
"2006";"Haarlemmerliede en Spaarnwoude";"410";"101";"49";"97";"50"
"2006";"Haarlemmermeer";"7883";"2522";"975";"2511";"1130"
"2006";"Harenkarspel";"970";"309";"192";"255";"70"
"2006";"Harmelen";"";"";"";"";""
"2006";"Heemskerk";"2404";"809";"420";"690";"244"
"2006";"Heemstede";"1636";"271";"107";"394";"268"
"2006";"Heerhugowaard";"2813";"1003";"602";"943";"292"
"2006";"Heiloo";"1320";"276";"129";"432";"158"
"2006";"Den Helder";"3135";"1357";"662";"774";"153"
"2006";"Hilversum";"4537";"1141";"540";"1580";"694"
"2006";"Hollands Kroon";"";"";"";"";""
"2006";"Hoorn";"3975";"1422";"615";"1314";"478"
"2006";"Houten";"3489";"1018";"340";"1059";"471"
"2006";"Huizen";"2885";"834";"345";"834";"335"
"2006";"IJsselstein";"2145";"659";"233";"588";"270"
"2006";"Koggenland";"";"";"";"";""
"2006";"Landsmeer";"615";"208";"68";"199";"71"
"2006";"Langbroek";"";"";"";"";""
"2006";"Langedijk";"1708";"529";"290";"509";"151"
"2006";"Laren (NH.)";"657";"95";"38";"121";"70"
"2006";"Leersum";"";"";"";"";""
"2006";"Leusden";"1927";"627";"250";"583";"179"
"2006";"Limmen";"";"";"";"";""
"2006";"Loenen";"489";"107";"43";"115";"52"
"2006";"Loosdrecht";"";"";"";"";""
